run_category,start_date_converted,start_date_month,year,month,distance_km,name,run_moving_time,run_elapsed_time,total_elevation_gain,achievement_count,kudos_count,comment_count,average_cadence,pr_count,average_heartrate,max_heartrate
Regular,2022-10-13,2022-10-31,2022,10,7.01,Lunch Loop,0:37:31,0:37:31,25.0,0,36,0,86.4,0,148.8,162.0
Regular,2022-10-12,2022-10-31,2022,10,14.33,Mid week longy 😄,1:19:08,1:19:26,114.0,0,50,0,85.9,0,151.0,167.0
Regular,2022-10-11,2022-10-31,2022,10,8.82,Lunch Loop,0:43:27,0:43:27,25.0,0,41,0,88.4,0,159.3,174.0
Regular,2022-10-10,2022-10-31,2022,10,8.54,Racing the rain,0:42:33,0:42:33,21.0,0,48,0,87.6,0,155.0,175.0
Regular,2022-10-07,2022-10-31,2022,10,5.11,Shakeout,0:25:31,0:25:37,13.0,0,40,0,88.4,0,149.1,172.0
Regular,2022-10-05,2022-10-31,2022,10,10.18,First tenner in a while,0:53:47,0:53:47,74.0,0,51,1,87.2,0,155.7,177.0
Regular,2022-10-04,2022-10-31,2022,10,6.01,Lunch Loop,0:31:07,0:31:07,14.0,0,32,0,86.9,0,150.7,172.0
Regular,2022-10-03,2022-10-31,2022,10,8.12,PM Loop,0:42:55,0:42:55,29.0,0,41,0,87.4,0,148.2,168.0
Regular,2022-09-28,2022-09-30,2022,9,7.41,PM Loop,0:37:52,0:37:52,28.0,1,42,0,87.6,0,158.4,177.0
Regular,2022-09-27,2022-09-30,2022,9,7.21,PM Loop,0:40:32,0:40:36,68.0,0,45,0,85.7,0,155.3,175.0
Regular,2022-09-20,2022-09-30,2022,9,10.02,PM Loop,0:57:23,0:57:23,50.0,0,43,0,85.2,0,145.7,161.0
Regular,2022-09-19,2022-09-30,2022,9,6.2,The rebuild,0:32:10,0:32:10,21.0,0,53,0,86.6,0,157.7,176.0
Regular,2022-09-13,2022-09-30,2022,9,8.02,It’s warming up!,0:42:16,0:42:16,22.0,0,48,0,86.6,0,161.8,177.0
Regular,2022-09-12,2022-09-30,2022,9,5.42,PM Loop,0:30:02,0:30:11,55.0,0,51,0,85.8,0,149.1,166.0
Regular,2022-09-09,2022-09-30,2022,9,4.53,Made the right call,0:30:28,0:30:38,23.0,0,43,6,74.9,0,130.5,164.0
Regular,2022-09-06,2022-09-30,2022,9,8.02,Lunch Loop,0:41:04,0:41:04,23.0,0,45,2,87.1,0,164.6,180.0
Regular,2022-09-05,2022-09-30,2022,9,6.37,PM loop,0:37:58,0:37:58,44.0,0,39,0,84.3,0,144.4,162.0
Regular,2022-09-04,2022-09-30,2022,9,17.49,Systems check,1:51:34,1:54:15,274.0,1,78,4,83.3,0,158.3,176.0
Regular,2022-09-03,2022-09-30,2022,9,6.05,Easy 6,0:36:12,0:36:12,23.0,0,56,2,84.3,0,143.5,159.0
Regular,2022-09-01,2022-09-30,2022,9,5.02,Junk,0:26:13,0:26:13,8.0,0,37,1,87.7,0,156.1,178.0
Regular,2022-08-31,2022-08-31,2022,8,5.47,PM Loop,0:32:56,0:32:59,22.0,1,25,0,84.8,1,147.7,178.0
Regular,2022-08-30,2022-08-31,2022,8,8.03,Carving in some new shoes,0:49:42,0:50:48,151.0,0,66,0,83.5,0,164.7,184.0
Regular,2022-08-29,2022-08-31,2022,8,6.01,Longest run in 3 weeks,0:35:10,0:35:10,15.0,0,59,3,85.0,0,156.1,172.0
Regular,2022-08-24,2022-08-31,2022,8,0.81,If anything I’m persistent ,0:05:08,0:05:08,0.0,0,23,1,86.1,0,133.9,149.0
Regular,2022-08-23,2022-08-31,2022,8,0.21,Another nope,0:01:32,0:01:35,0.0,0,12,0,81.7,0,110.2,124.0
Regular,2022-08-22,2022-08-31,2022,8,0.74,Well that’s a big fat no,0:06:06,0:06:50,0.0,0,30,6,69.6,0,120.9,141.0
Regular,2022-08-09,2022-08-31,2022,8,10.03,Lunch Out and back,0:54:24,0:54:43,34.0,0,47,0,86.7,0,137.8,148.0
Regular,2022-08-08,2022-08-31,2022,8,6.46,Recovery 6,0:35:58,0:36:06,14.0,0,44,0,86.5,0,148.4,175.0
Long Run,2022-08-06,2022-08-31,2022,8,25.02,GH3 Daisy Hill ,2:18:07,2:24:53,570.0,7,76,3,87.1,1,152.4,177.0
Regular,2022-08-05,2022-08-31,2022,8,10.02,GH2 Runnable hills,0:54:48,0:54:56,224.0,1,53,0,86.9,0,158.0,177.0
Regular,2022-08-03,2022-08-31,2022,8,10.2,GH1 intervals ,0:49:47,0:50:02,37.0,2,51,0,89.2,1,164.3,189.0
Regular,2022-08-02,2022-08-31,2022,8,8.04,Lunch Loop,0:44:37,0:44:37,33.0,0,45,0,87.0,0,141.5,166.0
Regular,2022-08-01,2022-08-31,2022,8,6.11,Recovery 6,0:32:54,0:32:54,20.0,0,40,0,88.6,0,154.9,200.0
Race,2022-07-29,2022-07-31,2022,7,51.29,Flinders 50,5:28:45,5:38:15,1149.0,17,106,25,81.8,5,153.6,175.0
Regular,2022-07-29,2022-07-31,2022,7,4.01,That’s me done,0:22:10,0:22:10,13.0,1,39,1,86.5,1,135.6,149.0
Regular,2022-07-28,2022-07-31,2022,7,7.53,Easy 45,0:45:04,0:45:04,27.0,0,41,6,85.7,0,136.6,156.0
Regular,2022-07-27,2022-07-31,2022,7,9.68,Lake Loops,0:50:20,0:50:28,52.0,0,46,0,87.3,0,140.4,161.0
